@dataValueAttribs							
precip	0	9999	mm				
@dataSetAttribs							
missingDataVal	-9999						
dataStart	01.01.1987 00:00						
dataEnd	31.12.1990 00:00						
tres	d						
@statAttribVal							
name	Station 1	Station 2	Station 3	Station 4	Station 5	Station 6 	Station 7
ID	1	2	3	4	5	6	7
elevation	5790	4686	5407	2956	1966	3264	1796
x	457841	475716	496716	448716	467466	491716	475841
y	3069079	3068142	3066439	3041343	3039374	3038875	3025970
dataColumn	1	2	3	4	5	6	
@dataVal							
01.01.1987 00:00	0	0	0	0	0	0	0
02.01.1987 00:00	0	0	0	0	0	0	0
03.01.1987 00:00	0	0	0	0	0	0	0
04.01.1987 00:00	0	0	0	0	0	0	0
05.01.1987 00:00	0	0	0	0	0	0	0
06.01.1987 00:00	0	0	0	0	0	0	0
07.01.1987 00:00	0	0	0	0	0	0	0
08.01.1987 00:00	0	0	0	0	0	0	0
09.01.1987 00:00	0	0	0	0	0	0	0
10.01.1987 00:00	0	0	0	0	0	0	0
11.01.1987 00:00	0	0	0	0	0	0	0
12.01.1987 00:00	0.136973961	0.006251487	0.179068486	0.244339886	1.133523029	0.326941704	1.88E-04
13.01.1987 00:00	0	0	0	0	0	0	0
14.01.1987 00:00	0	0	0	0	0	0	0
15.01.1987 00:00	0	0	0	0	0	0	0
16.01.1987 00:00	0	0	0	0	0	0	0
17.01.1987 00:00	0	0	0	0	0	0	0
18.01.1987 00:00	0	0	0	0	0	0	0
19.01.1987 00:00	0	0	0	0	0	0	0
20.01.1987 00:00	0	0	0	0	0	0	0
21.01.1987 00:00	0	0	0	0	0	0	0
22.01.1987 00:00	0	0	0	0	0	0	0
23.01.1987 00:00	0	0	0	0	0	0	0
24.01.1987 00:00	0	0	0	0	0	0	0
25.01.1987 00:00	0	0	0	0	0	0	0
26.01.1987 00:00	0	0	0	0	0	0	0
27.01.1987 00:00	0	0	0	0	0	0	0
28.01.1987 00:00	0	0	0	0	0	0	0
29.01.1987 00:00	0	0	0	0	0	2.20472761	3.129088047
30.01.1987 00:00	0	0	0	0	0	1.489286226	2.583472311
