@dataValueAttribs				
precip	0	9999	mm	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1987 00:00			
dataEnd	31.12.1990 00:00	
tres	d			
@statAttribVal				
name	Station 4	Station 5	Station 6 	Station 7
ID	4	5	6	7
elevation	2956	1966	3264	1796
x	448716	467466	491716	475841
y	3041343	3039374	3038875	3025970
dataColumn	4	5	6	
@dataVal				
01.01.1987 00:00	100	75.65273754	100	67.74416382
02.01.1987 00:00	100	85.16099781	100	88.77796017
03.01.1987 00:00	100	87.10076075	100	78.06642261
04.01.1987 00:00	100	74.32319751	100	71.26439625
05.01.1987 00:00	80.38386592	63.28861107	98.43074322	52.26956822
06.01.1987 00:00	100	74.72925769	100	66.68609931
07.01.1987 00:00	83.98809295	55.42281109	100	55.19990627
08.01.1987 00:00	77.16220807	59.04614247	99.09946596	54.46897645
09.01.1987 00:00	94.5041359	66.55109042	98.90032565	58.88611879
10.01.1987 00:00	86.66551909	65.58795069	100	58.0464224
11.01.1987 00:00	100	84.26914065	100	77.0226617
12.01.1987 00:00	100	79.38132382	100	75.6439211
13.01.1987 00:00	100	100	100	88.45768659
14.01.1987 00:00	100	97.1630131	100	94.07138734
15.01.1987 00:00	100	81.03753671	100	83.32394891
16.01.1987 00:00	100	84.6180369	100	80.41702457
17.01.1987 00:00	100	94.15505282	100	83.05729723
18.01.1987 00:00	100	96.7914742	100	85.08690908
19.01.1987 00:00	100	89.13078299	100	80.26438326
20.01.1987 00:00	100	86.88484031	100	79.86631922
21.01.1987 00:00	100	84.25129359	100	79.5542117
22.01.1987 00:00	100	76.67147482	100	71.87846498
23.01.1987 00:00	100	70.54156257	100	72.80419065
24.01.1987 00:00	100	70.3835891	100	69.04401076
25.01.1987 00:00	100	84.65990662	100	77.87232716
26.01.1987 00:00	100	76.7725941	100	66.54043823
27.01.1987 00:00	100	81.31828909	100	80.98133479
28.01.1987 00:00	100	81.64716226	100	79.43226803
29.01.1987 00:00	100	98.12084166	100	80.52281917
30.01.1987 00:00	100	89.3638423	100	69.7785732
31.01.1987 00:00	100	78.82287166	100	64.77642143
